year,date,circuitId
2000,2000-03-12,1
2000,2000-03-26,18
2000,2000-04-09,21
2000,2000-04-23,9
2000,2000-05-07,4
2000,2000-05-21,20
2000,2000-06-04,6
2000,2000-06-18,7
2000,2000-07-02,8
2000,2000-07-16,70
2000,2000-07-30,10
2000,2000-08-13,11
2000,2000-08-27,13
2000,2000-09-10,14
2000,2000-09-24,19
2000,2000-10-08,22
2000,2000-10-22,2
2001,2001-03-04,1
2001,2001-03-18,2
2001,2001-04-01,18
2001,2001-04-15,21
2001,2001-04-29,4
2001,2001-05-13,70
2001,2001-05-27,6
2001,2001-06-10,7
2001,2001-06-24,20
2001,2001-07-01,8
2001,2001-07-15,9
2001,2001-07-29,10
2001,2001-08-19,11
2001,2001-09-02,13
2001,2001-09-16,14
2001,2001-09-30,19
2001,2001-10-14,22
2002,2002-03-03,1
2002,2002-03-17,2
2002,2002-03-31,18
2002,2002-04-14,21
2002,2002-04-28,4
2002,2002-05-12,70
2002,2002-05-26,6
2002,2002-06-09,7
2002,2002-06-23,20
2002,2002-07-07,9
2002,2002-07-21,8
2002,2002-07-28,10
2002,2002-08-18,11
2002,2002-09-01,13
2002,2002-09-15,14
2002,2002-09-29,19
2002,2002-10-13,22
2003,2003-03-09,1
2003,2003-03-23,2
2003,2003-04-06,18
2003,2003-04-20,21
2003,2003-05-04,4
2003,2003-05-18,70
2003,2003-06-01,6
2003,2003-06-15,7
2003,2003-06-29,20
2003,2003-07-06,8
2003,2003-07-20,9
2003,2003-08-03,10
2003,2003-08-24,11
2003,2003-09-14,14
2003,2003-09-28,19
2003,2003-10-12,22
2004,2004-03-07,1
2004,2004-03-21,2
2004,2004-04-04,3
2004,2004-04-25,21
2004,2004-05-09,4
2004,2004-05-23,6
2004,2004-05-30,20
2004,2004-06-13,7
2004,2004-06-20,19
2004,2004-07-04,8
2004,2004-07-11,9
2004,2004-07-25,10
2004,2004-08-15,11
2004,2004-08-29,13
2004,2004-09-12,14
2004,2004-09-26,17
2004,2004-10-10,22
2004,2004-10-24,18
2005,2005-03-06,1
2005,2005-03-20,2
2005,2005-04-03,3
2005,2005-04-24,21
2005,2005-05-08,4
2005,2005-05-22,6
2005,2005-05-29,20
2005,2005-06-12,7
2005,2005-06-19,19
2005,2005-07-03,8
2005,2005-07-10,9
2005,2005-07-24,10
2005,2005-07-31,11
2005,2005-08-21,5
2005,2005-09-04,14
2005,2005-09-11,13
2005,2005-09-25,18
2005,2005-10-09,22
2005,2005-10-16,17
2006,2006-03-12,3
2006,2006-03-19,2
2006,2006-04-02,1
2006,2006-04-23,21
2006,2006-05-07,20
2006,2006-05-14,4
2006,2006-05-28,6
2006,2006-06-11,9
2006,2006-06-25,7
2006,2006-07-02,19
2006,2006-07-16,8
2006,2006-07-30,10
2006,2006-08-06,11
2006,2006-08-27,5
2006,2006-09-10,14
2006,2006-10-01,17
2006,2006-10-08,22
2006,2006-10-22,18
2007,2007-03-18,1
2007,2007-04-08,2
2007,2007-04-15,3
2007,2007-05-13,4
2007,2007-05-27,6
2007,2007-06-10,7
2007,2007-06-17,19
2007,2007-07-01,8
2007,2007-07-08,9
2007,2007-07-22,20
2007,2007-08-05,11
2007,2007-08-26,5
2007,2007-09-09,14
2007,2007-09-16,13
2007,2007-09-30,16
2007,2007-10-07,17
2007,2007-10-21,18
2008,2008-03-16,1
2008,2008-03-23,2
2008,2008-04-06,3
2008,2008-04-27,4
2008,2008-05-11,5
2008,2008-05-25,6
2008,2008-06-08,7
2008,2008-06-22,8
2008,2008-07-06,9
2008,2008-07-20,10
2008,2008-08-03,11
2008,2008-08-24,12
2008,2008-09-07,13
2008,2008-09-14,14
2008,2008-09-28,15
2008,2008-10-12,16
2008,2008-10-19,17
2008,2008-11-02,18
2009,2009-03-29,1
2009,2009-04-05,2
2009,2009-04-19,17
2009,2009-04-26,3
2009,2009-05-10,4
2009,2009-05-24,6
2009,2009-06-07,5
2009,2009-06-21,9
2009,2009-07-12,20
2009,2009-07-26,11
2009,2009-08-23,12
2009,2009-08-30,13
2009,2009-09-13,14
2009,2009-09-27,15
2009,2009-10-04,22
2009,2009-10-18,18
2009,2009-11-01,24
2010,2010-03-14,3
2010,2010-03-28,1
2010,2010-04-04,2
2010,2010-04-18,17
2010,2010-05-09,4
2010,2010-05-16,6
2010,2010-05-30,5
2010,2010-06-13,7
2010,2010-06-27,12
2010,2010-07-11,9
2010,2010-07-25,10
2010,2010-08-01,11
2010,2010-08-29,13
2010,2010-09-12,14
2010,2010-09-26,15
2010,2010-10-10,22
2010,2010-10-24,35
2010,2010-11-07,18
2010,2010-11-14,24
2011,2011-03-27,1
2011,2011-04-10,2
2011,2011-04-17,17
2011,2011-05-08,5
2011,2011-05-22,4
2011,2011-05-29,6
2011,2011-06-12,7
2011,2011-06-26,12
2011,2011-07-10,9
2011,2011-07-24,20
2011,2011-07-31,11
2011,2011-08-28,13
2011,2011-09-11,14
2011,2011-09-25,15
2011,2011-10-09,22
2011,2011-10-16,35
2011,2011-10-30,68
2011,2011-11-13,24
2011,2011-11-27,18
2012,2012-03-18,1
2012,2012-03-25,2
2012,2012-04-15,17
2012,2012-04-22,3
2012,2012-05-13,4
2012,2012-05-27,6
2012,2012-06-10,7
2012,2012-06-24,12
2012,2012-07-08,9
2012,2012-07-22,10
2012,2012-07-29,11
2012,2012-09-02,13
2012,2012-09-09,14
2012,2012-09-23,15
2012,2012-10-07,22
2012,2012-10-14,35
2012,2012-10-28,68
2012,2012-11-04,24
2012,2012-11-18,69
2012,2012-11-25,18
2013,2013-03-17,1
2013,2013-03-24,2
2013,2013-04-14,17
2013,2013-04-21,3
2013,2013-05-12,4
2013,2013-05-26,6
2013,2013-06-09,7
2013,2013-06-30,9
2013,2013-07-07,20
2013,2013-07-28,11
2013,2013-08-25,13
2013,2013-09-08,14
2013,2013-09-22,15
2013,2013-10-06,35
2013,2013-10-13,22
2013,2013-10-27,68
2013,2013-11-03,24
2013,2013-11-17,69
2013,2013-11-24,18
2014,2014-03-16,1
2014,2014-03-30,2
2014,2014-04-06,3
2014,2014-04-20,17
2014,2014-05-11,4
2014,2014-05-25,6
2014,2014-06-08,7
2014,2014-06-22,70
2014,2014-07-06,9
2014,2014-07-20,10
2014,2014-07-27,11
2014,2014-08-24,13
2014,2014-09-07,14
2014,2014-09-21,15
2014,2014-10-05,22
2014,2014-10-12,71
2014,2014-11-02,69
2014,2014-11-09,18
2014,2014-11-23,24
2015,2015-03-15,1
2015,2015-03-29,2
2015,2015-04-12,17
2015,2015-04-19,3
2015,2015-05-10,4
2015,2015-05-24,6
2015,2015-06-07,7
2015,2015-06-21,70
2015,2015-07-05,9
