year,circuit_name,circuitId,driverId,grid,final_position,points,laps,statusId,rank,fastestLapTime,driverRef,wins,stop,duration
2014,Australian Grand Prix,1,3,3,1,25.0,57,1,1,1:32.478,rosberg,1.0,1.0,24.331
2014,Australian Grand Prix,1,3,3,1,25.0,57,1,1,1:32.478,rosberg,1.0,2.0,23.673
2014,Australian Grand Prix,1,825,4,2,18.0,57,1,6,1:33.066,kevin_magnussen,0.0,1.0,23.150
2014,Australian Grand Prix,1,825,4,2,18.0,57,1,6,1:33.066,kevin_magnussen,0.0,2.0,22.273
2014,Australian Grand Prix,1,18,10,3,15.0,57,1,5,1:32.917,button,0.0,1.0,22.411
2014,Australian Grand Prix,1,18,10,3,15.0,57,1,5,1:32.917,button,0.0,2.0,22.399
2014,Australian Grand Prix,1,4,5,4,12.0,57,1,7,1:33.186,alonso,0.0,1.0,22.887
2014,Australian Grand Prix,1,4,5,4,12.0,57,1,7,1:33.186,alonso,0.0,2.0,21.978
2014,Australian Grand Prix,1,822,15,5,10.0,57,1,3,1:32.616,bottas,0.0,1.0,34.921
2014,Australian Grand Prix,1,822,15,5,10.0,57,1,3,1:32.616,bottas,0.0,2.0,23.117
2014,Australian Grand Prix,1,807,7,6,8.0,57,1,2,1:32.568,hulkenberg,0.0,1.0,22.615
2014,Australian Grand Prix,1,807,7,6,8.0,57,1,2,1:32.568,hulkenberg,0.0,2.0,22.933
2014,Australian Grand Prix,1,8,11,7,6.0,57,1,8,1:33.210,raikkonen,0.0,1.0,25.543
2014,Australian Grand Prix,1,8,11,7,6.0,57,1,8,1:33.210,raikkonen,0.0,2.0,21.825
2014,Australian Grand Prix,1,818,6,8,4.0,57,1,10,1:33.691,vergne,0.0,1.0,23.124
2014,Australian Grand Prix,1,818,6,8,4.0,57,1,10,1:33.691,vergne,0.0,2.0,22.978
2014,Australian Grand Prix,1,826,8,9,2.0,57,1,11,1:33.864,kvyat,0.0,1.0,30.514
2014,Australian Grand Prix,1,826,8,9,2.0,57,1,11,1:33.864,kvyat,0.0,2.0,23.920
2014,Australian Grand Prix,1,815,16,10,1.0,57,1,4,1:32.634,perez,0.0,1.0,25.541
2014,Australian Grand Prix,1,815,16,10,1.0,57,1,4,1:32.634,perez,0.0,2.0,22.497
2014,Australian Grand Prix,1,815,16,10,1.0,57,1,4,1:32.634,perez,0.0,3.0,22.526
2014,Australian Grand Prix,1,16,13,11,0.0,56,11,9,1:33.366,sutil,0.0,1.0,24.305
2014,Australian Grand Prix,1,821,20,12,0.0,56,11,13,1:34.564,gutierrez,0.0,1.0,32.657
2014,Australian Grand Prix,1,821,20,12,0.0,56,11,13,1:34.564,gutierrez,0.0,2.0,23.797
2014,Australian Grand Prix,1,820,17,13,0.0,55,12,12,1:34.202,chilton,0.0,1.0,24.209
2014,Australian Grand Prix,1,820,17,13,0.0,55,12,12,1:34.202,chilton,0.0,2.0,23.493
2014,Australian Grand Prix,1,824,18,\N,0.0,49,18,16,1:35.635,jules_bianchi,0.0,1.0,23.821
2014,Australian Grand Prix,1,824,18,\N,0.0,49,18,16,1:35.635,jules_bianchi,0.0,2.0,22.656
2014,Australian Grand Prix,1,154,22,\N,0.0,43,132,15,1:35.281,grosjean,0.0,1.0,17.255
2014,Australian Grand Prix,1,154,22,\N,0.0,43,132,15,1:35.281,grosjean,0.0,2.0,22.264
2014,Australian Grand Prix,1,813,21,\N,0.0,29,132,14,1:34.766,maldonado,0.0,1.0,22.847
2014,Australian Grand Prix,1,828,19,\N,0.0,27,51,18,1:37.332,ericsson,0.0,1.0,23.238
2014,Australian Grand Prix,1,20,12,\N,0.0,3,5,17,1:37.064,vettel,0.0,,
2014,Australian Grand Prix,1,1,1,\N,0.0,2,5,20,1:49.947,hamilton,0.0,,
2014,Australian Grand Prix,1,13,9,\N,0.0,0,4,19,1:40.287,massa,0.0,,
2014,Australian Grand Prix,1,155,14,\N,0.0,0,4,0,\N,kobayashi,0.0,,
2014,Australian Grand Prix,1,817,2,\N,0.0,57,2,0,\N,ricciardo,0.0,1.0,22.994
2014,Australian Grand Prix,1,817,2,\N,0.0,57,2,0,\N,ricciardo,0.0,2.0,22.427
2014,Malaysian Grand Prix,2,1,1,1,25.0,56,1,1,1:43.066,hamilton,1.0,1.0,24.604
2014,Malaysian Grand Prix,2,1,1,1,25.0,56,1,1,1:43.066,hamilton,1.0,2.0,25.296
2014,Malaysian Grand Prix,2,1,1,1,25.0,56,1,1,1:43.066,hamilton,1.0,3.0,24.484
2014,Malaysian Grand Prix,2,3,3,2,18.0,56,1,2,1:43.960,rosberg,1.0,1.0,24.723
